Angle (°),Distance (mm)
109.67,2815.00
111.36,2849.00
113.08,2892.75
114.81,2754.75
116.55,2616.00
118.28,2471.75
120.02,2357.50
121.80,2246.75
123.55,2151.00
125.27,2063.25
126.97,1996.00
128.73,1922.50
130.47,1855.25
132.31,0.00
134.03,1639.25
135.80,1613.00
137.59,1472.00
139.33,1466.25
141.05,1473.25
142.67,1547.50
144.41,1517.50
146.09,1488.00
147.84,1462.75
149.56,1438.25
151.36,1413.50
153.06,1398.25
154.77,1378.25
156.53,1364.50
158.23,1349.75
159.98,1337.25
161.72,1326.00
163.38,1315.00
165.17,1308.00
166.88,1299.25
168.56,1294.50
170.25,1290.75
172.00,1284.00
173.78,1282.75
175.47,1278.75
177.16,1280.00
179.14,0.00
183.33,673.00
185.06,675.25
186.66,676.50
188.41,681.00
190.06,684.50
191.84,689.50
193.50,694.75
195.23,700.75
196.80,708.00
198.61,716.25
200.20,725.00
202.00,733.00
203.67,743.00
205.42,753.50
206.97,766.75
208.64,778.50
210.47,792.75
212.05,809.50
213.66,825.50
215.39,843.50
217.09,862.75
218.86,883.50
220.44,908.50
222.08,934.75
223.77,963.00
225.45,994.00
227.11,1029.00
228.80,1067.50
230.38,1110.25
232.08,1155.75
233.77,1207.25
235.45,1263.75
236.77,0.00
238.41,1874.75
240.08,1980.50
241.77,2098.50
250.81,0.00
245.03,0.00
246.70,3134.75
248.39,3088.50
250.12,3042.75
251.86,3037.50
253.56,3000.00
255.30,3013.50
257.02,2985.00
258.77,2971.25
260.45,2952.75
262.14,2962.00
263.88,2969.25
265.59,2967.00
267.30,2977.00
269.05,2798.00
270.75,2813.75
274.27,2565.00
276.03,2586.50
277.70,2597.75
279.38,0.00
281.11,2889.00
282.80,3140.75
284.47,3131.25
286.20,3148.50
287.92,3190.25
289.64,3232.25
291.34,3280.00
293.06,3340.25
294.75,3367.25
296.50,3429.75
298.17,3510.25
299.80,3599.00
301.52,3532.75
303.23,3519.25
304.97,3445.50
306.69,3349.00
308.39,3256.00
310.14,3098.25
311.86,3000.25
313.56,2915.75
315.30,0.00
317.03,2814.00
318.73,2758.75
320.45,2714.50
322.19,2691.00
324.16,0.00
325.89,2016.75
327.61,1983.75
329.33,1949.25
331.06,1919.75
332.81,1890.25
334.52,1869.00
336.23,1840.50
337.94,1824.75
339.70,1804.75
344.61,0.00
346.36,2478.25
348.02,2466.00
349.72,2454.25
351.47,2445.50
353.16,2437.25
354.86,2432.75
356.59,2431.00
358.30,2429.50
0.02,2431.25
1.73,2435.00
3.44,2442.25
5.12,2453.25
6.83,2464.25
8.58,2477.25
10.30,2492.25
12.02,2510.75
13.72,2529.25
15.44,2552.50
17.17,2576.75
18.88,2605.75
20.56,2635.75
22.27,2672.75
23.97,2707.75
25.69,2752.75
27.38,2794.00
29.09,2821.25
30.80,0.00
32.53,2965.25
34.22,3028.00
35.91,3100.25
37.61,3173.25
39.30,3254.75
40.98,3339.75
42.69,3439.50
44.38,3542.00
46.08,3668.00
47.78,3790.00
49.48,3943.00
51.19,4099.75
52.89,4288.75
54.58,4493.00
56.28,4717.75
57.98,4924.25
59.62,5260.00
61.33,5584.50
63.02,5944.75
64.72,6329.50
66.44,6412.50
68.17,6132.00
69.88,6068.50
75.00,6384.75
78.42,5917.50
80.12,5966.50
81.84,6019.75
83.69,6067.50
85.41,6061.50
87.14,5870.75
88.86,5850.50
92.25,6309.25
95.72,0.00
101.03,0.00
106.33,2751.25
107.92,2777.50
109.62,2812.25
111.34,2849.75
113.05,2889.75
114.80,2747.50
116.52,2602.25
118.27,2472.50
120.00,2356.25
121.75,2249.50
123.53,2152.50
125.23,2065.50
126.98,1990.25
128.73,1921.25
130.44,1856.00
132.33,0.00
134.02,1640.00
135.80,1607.50
137.59,1471.25
139.28,1465.00
141.09,1459.00
142.70,1547.25
144.44,1516.25
146.17,1485.25
147.86,1463.00
149.59,1438.25
151.34,1414.25
153.02,1398.00
154.83,1378.75
156.53,1364.50
158.25,1349.75
160.02,1337.00
161.69,1326.00
163.47,1314.50
165.19,1308.25
166.92,1300.50
168.64,1294.75
170.34,1290.75
172.06,1283.75
173.80,1282.75
175.52,1279.00
177.22,1280.25
179.28,0.00
183.22,0.00
185.06,674.75
186.69,677.50
188.48,681.00
190.06,684.75
191.94,689.75
193.56,695.25
195.33,701.25
196.95,709.25
198.70,717.75
200.34,724.25
201.94,733.25
203.77,743.75
205.39,756.50
207.05,768.25
208.78,781.75
210.47,796.25
212.19,810.25
213.89,828.50
215.47,847.00
217.23,866.50
218.89,887.50
220.62,912.00
222.19,938.50
223.89,966.75
225.58,999.75
227.28,1033.50
228.92,1073.25
