Angle (°),Distance (mm)
339.77,4985.00
341.48,5056.00
343.17,5052.00
344.91,4879.25
346.58,4873.25
348.28,4879.50
351.67,5335.75
356.80,5358.75
358.59,4181.75
0.34,0.00
2.09,3569.75
3.78,3604.50
12.62,0.00
14.27,2521.00
15.95,2567.75
17.86,0.00
19.59,1943.75
21.30,1988.75
22.97,2034.50
24.66,2087.50
26.36,2144.75
28.08,2164.50
29.81,2096.25
31.55,2032.25
33.25,2082.00
34.88,2159.25
36.58,2230.50
38.30,2217.50
40.11,0.00
41.81,1952.25
43.56,0.00
45.34,1845.00
47.02,1828.00
48.72,1804.25
50.44,1780.25
52.14,1763.75
53.91,1746.50
55.66,1613.50
57.42,1597.25
59.11,1587.50
60.80,1576.50
62.53,1566.50
64.23,0.00
65.95,1476.25
67.69,1450.50
69.44,1438.25
71.02,1476.75
72.72,1535.25
74.56,0.00
76.20,1420.25
77.91,1473.50
79.67,1473.50
81.34,1449.00
83.23,1428.00
84.94,1418.00
86.64,1434.25
88.28,1494.25
90.02,1530.75
91.72,1508.25
93.47,1445.25
95.12,1510.50
96.75,1687.75
98.47,1669.00
100.22,1659.00
101.92,1684.75
103.56,1713.50
105.31,1742.25
106.89,1779.75
108.55,1865.00
110.28,1789.50
112.08,1722.00
113.80,1659.00
115.52,1601.25
117.25,1550.50
119.02,1498.50
120.78,1459.50
122.48,1448.75
124.12,1500.50
125.83,1557.25
127.48,1621.75
130.89,1770.50
132.53,1854.75
134.19,1951.00
135.89,2065.75
137.56,2198.75
144.08,4197.25
145.80,4136.75
147.53,4130.75
149.25,4069.00
150.95,4004.00
152.66,4046.75
154.44,4013.50
156.12,4020.50
157.86,4002.50
161.27,3818.75
163.00,3826.75
164.70,3829.75
166.41,3841.00
168.12,3849.00
169.83,0.00
171.53,4060.50
173.23,4070.75
174.97,4100.75
176.66,4131.50
178.36,4155.25
180.05,4197.00
181.77,4246.50
183.48,4297.25
185.16,4359.50
186.91,4325.00
188.62,4231.00
192.06,3729.25
199.14,2393.50
200.88,0.00
202.70,2207.75
204.42,2139.25
207.83,2119.25
209.55,2144.00
211.22,2217.50
212.94,2287.00
214.59,2378.00
216.30,2461.75
218.00,2567.25
219.69,2647.00
221.44,2598.75
223.16,2553.50
224.89,2511.25
226.59,2473.00
228.28,2434.50
229.98,2403.00
231.70,2372.75
233.41,2344.75
235.12,2321.25
236.81,2304.25
238.58,2285.75
240.28,2269.75
242.00,2252.50
243.67,2242.75
245.39,2231.00
247.11,2221.00
248.84,2216.25
250.53,2212.25
252.30,2208.75
253.98,2208.25
255.67,2210.75
257.39,2212.50
259.12,2219.75
260.84,2227.75
262.53,2240.00
264.22,2251.25
265.98,2223.00
267.67,2223.50
269.39,2310.25
271.06,2332.00
272.78,2357.50
274.48,2383.25
276.22,2413.00
277.95,2446.25
279.67,2483.75
281.36,2521.75
283.05,2560.75
284.80,2610.75
286.48,2660.75
288.17,2710.00
289.89,2775.75
291.58,2831.25
293.30,2901.25
294.98,2980.00
296.70,3059.75
298.42,3159.00
300.02,3250.00
301.66,3373.50
303.36,3492.50
305.06,3611.50
306.77,3762.00
308.44,3916.75
310.14,3917.00
311.83,4198.75
313.50,4310.25
315.22,4555.25
316.91,4859.50
318.58,5215.25
320.28,5433.50
322.00,5205.50
323.81,5100.50
325.52,5299.00
330.67,5361.00
334.09,0.00
335.83,4877.75
337.53,4861.75
339.23,5000.25
340.97,5051.25
342.67,5057.25
344.41,4880.50
346.11,4860.25
347.80,4871.25
351.20,5331.50
358.14,4168.00
359.84,4136.00
1.61,3560.75
3.30,3597.00
12.17,0.00
13.81,2512.75
15.52,2557.75
17.44,0.00
19.11,1939.75
20.81,1988.25
22.55,2025.50
24.22,2083.25
25.95,2139.75
27.64,2173.75
29.38,2094.25
31.09,2042.25
32.80,2083.25
34.47,2159.50
36.20,2230.75
37.89,2224.75
39.64,2182.75
41.41,1969.25
44.88,1851.00
46.59,1834.25
48.31,1808.00
50.09,1784.75
51.80,1766.00
53.52,1747.75
55.28,1615.75
57.00,1601.25
58.73,1588.50
60.42,1578.25
62.17,1567.75
63.91,1542.75
65.61,1476.50
67.33,1448.75
69.09,1435.75
70.70,1471.50
72.39,1536.00
74.22,0.00
75.95,1418.00
77.58,1472.75
79.28,1472.25
81.06,1446.25
82.78,1428.50
84.59,1418.00
86.28,1436.00
88.00,1491.75
89.72,1529.25
91.42,1511.50
93.19,1445.00
94.89,1502.75
96.45,1688.25
98.22,0.00
99.95,1660.75
101.64,1686.75
103.34,1715.25
105.03,1745.25
106.75,1778.50
108.34,1867.00
110.11,1791.50
111.80,1721.50
113.58,1660.75
115.34,1602.00
117.09,1548.75
118.80,1499.75
120.52,1458.50
122.23,1445.75
123.94,1499.25
125.59,1556.25
127.28,1620.50
130.62,1768.50
132.39,1852.50
134.08,1949.25
135.72,2062.50
137.41,2197.75
143.98,4184.00
145.67,4133.75
147.42,4127.00
149.12,4071.00
150.84,4004.25
152.56,4042.75
154.30,4011.75
156.03,4024.00
157.77,4005.50
161.19,3823.25
162.91,3826.25
164.64,3831.25
166.34,3842.00
168.06,3847.75
169.77,0.00
171.48,4056.00
173.20,4071.00
174.92,4099.50
176.64,4126.50
178.36,4156.50
180.03,4196.75
181.72,4246.50
183.45,4298.00
185.17,4372.25
186.89,4320.50
188.61,4228.00
192.09,3742.75
199.17,2391.50
200.94,0.00
202.72,2204.25
204.45,2136.50
207.89,2112.50
209.56,2146.50
211.27,2222.25
212.97,2298.25
214.67,2374.00
216.38,2473.25
218.06,2571.75
219.77,2646.75
221.48,2596.75
223.23,2553.75
224.95,2509.25
226.62,2470.25
228.38,2434.25
230.09,2401.50
231.78,2369.75
233.50,2344.25
235.27,2321.50
236.98,2304.50
238.67,2284.50
240.41,2271.50
242.08,2253.75
243.81,2242.25
245.56,2232.50
247.28,2222.00
248.98,2214.00
250.75,2212.50
252.45,2210.25
254.16,2209.75
255.86,2212.50
257.56,2215.00
259.30,2220.75
260.98,2227.25
262.70,2239.25
264.41,2252.25
266.16,2220.50
267.84,2245.00
269.56,2313.00
271.28,2335.75
272.98,2359.50
274.77,2388.75
276.42,2415.00
278.11,2449.50
279.88,2486.25
281.56,2524.00
283.30,2565.00
284.98,2610.25
286.69,2661.00
288.39,2716.75
290.08,2774.50
291.83,2838.25
293.52,2907.25
295.22,2991.75
296.95,3075.25
298.52,3163.75
300.19,3278.75
301.91,3395.25
303.59,3510.50
305.27,3647.00
306.97,3801.00
308.67,3916.75
310.36,3936.00
312.08,4201.25
313.77,4336.75
315.45,4603.25
317.12,4910.50
318.83,5256.50
320.55,5424.00
322.36,5185.25
324.05,5092.50
325.77,0.00
330.92,5351.00
334.36,4992.75
336.09,4883.25
337.80,4862.75
339.52,4980.00
341.22,5050.25
342.92,5046.75
344.67,4868.00
346.36,4886.50
348.05,4882.50
351.45,5334.50
356.59,5363.25
358.38,4157.25
0.12,0.00
1.86,3570.00
3.58,3604.00
8.89,2490.25
12.48,0.00
14.11,2524.25
15.80,2572.00
17.69,0.00
19.41,1949.25
21.11,1995.25
22.81,2036.00
24.50,2089.75
26.19,2148.25
27.92,2159.75
29.66,2088.50
31.38,2036.50
33.05,2089.00
34.75,2168.50
36.47,2232.25
38.17,2217.50
39.97,0.00
41.70,1967.50
45.20,1843.75
46.88,1828.75
48.64,1803.75
50.34,1781.00
52.06,1762.25
53.80,1728.25
55.61,1612.50
57.28,1599.50
58.97,1584.00
60.64,1576.25
62.38,1567.00
64.16,0.00
65.88,1471.50
67.56,1447.75
69.34,1438.25
70.94,1485.25
72.62,1536.50
74.47,1418.50
76.16,1427.25
77.81,1473.75
79.56,1472.50
81.28,1447.50
83.14,1427.75
84.83,1418.50
86.53,1438.50
88.27,1497.25
89.95,1531.50
91.69,1500.00
93.45,1444.50
95.11,1517.75
96.72,1688.25
98.45,1654.00
100.16,1662.50
101.89,1685.75
103.53,1718.00
105.30,1747.00
106.92,1794.50
108.53,1857.00
110.30,1780.25
112.08,1716.00
113.78,1650.00
115.55,1593.50
117.27,1544.00
119.00,1497.25
120.78,1454.00
122.50,1451.50
124.17,1503.00
125.88,1559.50
127.55,1623.00
129.19,1698.75
130.91,1777.75
132.61,1863.75
134.25,1962.50
135.92,2068.75
137.61,2207.25
144.17,4192.75
145.89,4133.75
147.61,4129.25
149.28,0.00
151.06,4055.00
152.77,4041.50
154.52,4015.25
156.20,4015.75
157.94,4006.00
159.67,0.00
161.36,3820.50
163.09,3829.25
164.80,3829.50
166.53,3839.00
168.23,3846.25
169.95,0.00
171.66,4056.50
173.39,4073.00
175.08,4104.25
176.81,4138.50
178.50,4159.25
180.19,4198.25
181.91,4244.50
183.61,4298.25
185.31,4379.25
187.05,4277.75
192.22,3728.75
199.31,2375.25
201.09,2270.25
202.89,2193.75
204.61,2129.75
208.06,2108.75
209.73,2165.25
211.42,2234.75
213.11,2315.00
214.83,2398.50
216.50,2491.25
218.19,2602.75
219.89,2645.75
221.66,2592.50
223.36,2550.00
225.09,2508.00
226.78,2468.75
228.47,2433.25
230.20,2402.75
231.94,2372.25
233.67,2345.75
235.41,2321.00
237.08,2301.25
238.84,2284.50
240.52,2271.00
242.23,2255.00
243.97,2242.75
245.69,2232.00
247.36,2220.75
249.11,2215.50
250.86,2211.75
252.56,2210.00
254.23,2210.00
255.97,2211.75
257.69,2215.50
259.39,2221.25
261.11,2229.75
262.83,2240.00
264.53,2253.75
266.28,2216.75
267.94,2270.75
269.66,2316.00
271.33,2338.00
273.06,2362.25
274.81,2391.50
276.53,2420.00
278.28,2454.25
279.97,2491.50
281.66,2529.00
283.38,2570.00
285.08,2615.50
286.77,2671.50
288.48,2724.25
290.19,2796.00
291.91,2847.00
293.62,2934.00
295.30,3001.25
297.00,3092.00
298.62,3186.50
300.30,3276.00
302.00,3404.75
303.70,3522.25
305.39,3645.25
307.08,3806.00
308.78,3933.25
310.48,3954.75
312.17,4388.25
313.88,4433.75
315.53,4622.25
317.27,4925.00
318.94,5278.75
320.67,5376.00
322.47,5150.50
324.17,5087.00
325.88,5447.75
331.02,5348.75
334.48,4949.50
336.22,4895.50
337.92,4900.50
339.62,4986.00
341.36,5054.75
343.05,5055.00
344.78,4863.50
346.47,4858.00
348.19,4882.50
351.56,5334.50
355.00,0.00
358.50,4153.25
0.25,0.00
1.98,3569.75
3.69,3603.75
9.03,2472.50
12.61,0.00
14.19,2523.75
17.80,1913.50
19.55,1953.00
21.23,1997.25
22.91,2038.00
24.64,2093.00
26.31,2157.00
28.02,2150.25
29.80,2079.50
31.53,2032.75
33.22,2095.00
34.89,2179.75
36.55,2235.00
38.33,2213.50
40.11,1928.25
41.80,1981.50
43.53,1902.75
45.33,1834.00
47.03,1823.00
48.73,1801.25
50.52,1777.25
52.23,1760.50
53.98,0.00
55.70,1610.75
57.48,1596.25
59.14,1585.50
60.84,1575.25
62.58,1565.75
64.31,1501.75
66.03,1465.25
67.75,1446.00
69.50,1438.75
71.14,1503.00
72.84,1538.75
74.67,1408.75
76.30,1438.00
78.02,1476.25
79.73,1467.50
81.45,1440.25
83.31,1423.50
85.00,1419.00
86.72,1447.25
88.36,1507.00
90.08,1532.25
91.83,1484.75
93.64,1443.25
95.25,1530.75
96.88,1694.25
98.69,1643.00
100.36,1664.75
102.03,1694.25
103.75,1722.75
105.45,1752.75
107.02,0.00
108.75,1847.00
110.53,1771.00
112.30,0.00
113.98,1640.50
115.73,1586.75
117.47,1535.25
119.22,1488.25
121.02,1448.50
122.69,1459.50
124.34,1512.50
126.05,1571.75
127.69,1638.00
129.39,1711.00
131.12,1788.75
132.81,1877.50
134.47,1977.00
136.16,2096.50
137.86,2234.75
142.69,4237.50
144.39,4153.25
146.12,4138.50
147.83,4121.50
149.55,4067.00
151.27,4053.75
153.00,4023.50
154.70,4017.25
156.44,4015.00
158.19,4010.25
159.92,3844.50
161.62,3825.75
163.33,3828.25
165.06,3832.50
166.78,3839.25
168.47,3850.00
170.20,4059.25
171.91,4060.25
173.61,4077.25
175.34,4115.75
177.05,4139.50
178.72,4186.00
180.42,4201.75
182.16,4262.75
183.88,4304.50
185.58,4388.00
187.28,4267.75
192.52,3689.50
199.59,2357.75
201.34,2253.00
203.11,2184.00
206.59,2099.50
208.27,2110.00
210.00,2181.75
211.70,2243.00
213.38,2320.50
215.08,2420.25
216.78,2505.75
218.48,2622.25
220.20,2635.25
221.92,2582.50
223.67,2536.00
225.36,2494.50
227.05,2460.00
228.80,2421.50
230.52,2392.75
232.19,2362.25
233.95,2335.75
235.66,2315.25
237.39,2297.00
239.09,2278.50
240.83,2265.50
242.50,2248.75
244.23,2238.75
245.97,2228.25
247.67,2220.00
249.42,2215.25
251.11,2209.00
252.86,2209.25
254.58,2211.00
256.30,2213.50
258.00,2216.25
259.69,2223.00
261.41,2231.25
263.14,2245.00
264.91,2223.50
266.55,2215.50
268.25,2304.75
269.97,2320.25
271.69,2343.50
273.39,2365.75
275.16,2398.75
276.86,2429.50
278.55,2460.50
280.28,2500.25
282.00,2541.75
283.69,2579.50
285.41,2628.25
287.11,2678.00
288.81,2742.25
290.52,2809.25
292.25,2872.25
293.95,2948.25
295.66,3029.00
297.36,3111.00
298.95,3208.75
300.66,3310.75
302.34,3426.00
304.02,3548.75
305.69,3689.00
307.39,3850.50
309.12,3922.00
310.81,0.00
314.20,4455.00
315.91,4701.50
317.58,5002.50
319.28,5349.50
321.00,5278.50
322.80,5136.00
324.53,5117.25
329.67,5431.75
334.84,4879.50
336.55,4967.50
338.27,4954.00
339.98,5005.50
341.72,5051.75
343.42,5002.25
345.14,4888.50
346.81,4850.75
351.92,5331.50
355.38,5062.00
358.88,4153.25
0.62,0.00
2.38,3581.75
9.41,2452.75
12.88,0.00
14.59,2538.75
16.27,2586.00
18.22,1923.25
19.91,1965.00
21.61,2006.25
23.31,2056.75
24.98,2108.00
26.73,2173.50
28.41,2128.50
30.17,2061.25
31.88,2047.25
33.58,2121.75
35.23,2191.00
36.98,2238.50
38.70,2196.00
40.50,1937.75
43.95,1881.00
45.67,1831.25
47.42,1816.75
49.16,1792.50
50.89,1771.50
52.61,1754.25
54.38,1622.75
56.12,1607.50
57.80,1593.50
59.45,1582.50
61.17,1571.50
62.95,1564.00
64.70,1493.75
66.44,1460.50
68.17,1440.00
69.88,1444.00
71.48,1520.00
73.19,1539.75
75.00,1407.00
76.70,1456.50
78.41,1477.25
80.14,1458.50
81.84,1435.75
83.72,1420.75
85.42,1421.50
87.08,1463.75
88.75,1520.25
90.52,1530.75
92.25,1457.25
93.98,1447.25
95.62,0.00
97.25,1701.25
98.97,1649.00
100.73,1672.00
102.44,1700.50
104.14,1729.25
105.86,1762.25
107.44,1888.50
109.14,1823.25
110.86,1745.25
112.67,1631.25
114.41,1626.50
116.16,1573.00
117.91,1521.75
119.66,1476.00
121.39,1436.75
123.08,1473.75
124.72,1530.50
126.42,1590.75
128.08,1659.00
129.73,1732.50
131.50,1810.50
133.14,1902.75
134.84,2011.50
136.52,2134.50
138.19,2274.25
143.02,4226.50
144.73,4137.00
146.50,4136.75
148.22,4095.75
149.94,4062.75
151.62,4060.25
153.36,4013.50
155.09,4020.75
156.83,4009.00
158.55,4014.25
160.27,3819.25
162.00,3824.00
163.72,3829.50
165.41,3830.75
167.16,3846.00
168.88,3852.00
170.58,0.00
172.27,4062.75
173.98,4085.00
175.69,4120.75
177.42,4146.25
179.08,4197.25
180.80,4213.75
182.52,4277.00
184.23,4321.50
185.95,4386.50
187.66,4268.00
198.25,2420.75
201.72,2230.25
203.52,2159.00
206.97,2117.25
208.67,2122.75
210.36,2194.00
212.05,2275.50
213.73,2357.75
215.44,2446.25
217.14,2546.50
218.86,2654.50
220.61,2613.50
222.30,2570.75
224.02,2525.50
225.77,2483.50
227.45,2447.00
229.16,2416.25
230.86,2385.00
232.59,2354.75
234.31,2330.25
236.05,2310.75
237.77,2291.25
239.47,2274.25
241.19,2261.25
242.89,2246.00
244.61,2237.25
246.36,2226.00
248.08,2218.00
249.80,2214.50
251.50,2210.00
253.25,2209.00
254.95,2210.25
256.66,2213.00
258.38,2218.50
260.11,2224.50
261.80,2236.50
263.52,2247.00
265.22,0.00
266.97,2216.00
268.62,2306.75
270.38,2327.75
272.05,2351.00
273.78,2377.50
275.55,2407.50
277.27,2441.00
278.98,2474.50
280.69,2512.50
282.36,2551.00
284.09,2598.50
285.83,2645.00
287.53,2713.75
289.22,2763.00
290.92,2827.00
292.64,2896.50
294.33,2973.75
296.03,3055.25
297.75,3140.00
299.31,3243.50
301.05,3347.50
302.72,3475.50
304.42,3615.25
306.11,3757.50
307.83,3919.75
309.52,3911.50
311.19,4295.25
312.91,4329.50
314.61,4522.25
316.27,4805.75
317.98,5150.50
319.67,5465.25
321.41,5236.75
323.22,5096.25
324.91,5265.75
330.06,5359.50
333.52,0.00
335.23,4878.75
336.97,4883.50
338.66,5002.25
340.39,5044.25
342.09,5051.75
343.84,4905.00
345.53,4879.50
347.23,4853.50
350.62,0.00
355.78,0.00
357.59,4170.00
359.30,4163.25
1.06,3555.25
2.78,3589.50
13.31,2508.75
14.98,2552.75
16.92,0.00
18.64,1941.50
20.34,1986.00
22.02,2019.50
23.72,2076.25
25.39,2141.25
27.12,2167.75
28.86,2107.75
30.58,2042.75
32.31,2069.75
33.98,2145.25
35.66,2226.00
37.41,2231.00
39.20,0.00
