Angle (°),Distance (mm)
218.47,2257.00
220.11,2236.50
221.77,2271.50
223.39,2343.75
225.08,2314.50
229.06,1096.25
230.62,1101.75
232.38,1041.00
237.20,0.00
238.80,1200.50
240.41,1223.75
241.52,0.00
243.22,2192.75
244.84,2109.50
246.50,2147.50
248.16,2190.75
249.78,2236.50
251.39,2286.50
253.05,2338.25
254.69,2397.50
256.31,2460.75
257.95,2529.00
259.59,2602.75
261.25,2685.25
262.86,2773.50
264.39,0.00
267.61,4131.75
269.27,4318.50
270.91,4446.00
274.19,4546.00
275.88,4476.00
277.53,4411.50
279.23,0.00
280.84,4310.25
285.28,1010.50
289.12,3946.75
292.20,832.00
293.78,833.25
295.59,792.75
297.17,786.75
298.89,787.50
300.45,789.50
301.95,838.00
303.92,3500.00
305.53,0.00
310.11,908.50
311.67,971.75
313.27,974.25
314.91,992.25
316.55,992.25
317.92,1177.00
335.72,1689.25
337.34,0.00
340.81,1479.00
342.48,1502.75
344.08,1483.75
345.70,1523.00
352.34,1428.75
353.95,1382.75
357.28,1371.25
358.89,1449.25
0.50,1493.00
2.14,1507.25
3.83,1495.50
5.47,1471.00
7.14,1450.25
8.78,1429.25
15.44,1365.00
17.17,1347.50
19.62,0.00
21.27,4585.75
22.95,4551.25
24.58,4533.00
26.25,4517.50
35.56,0.00
29.39,7285.25
32.67,8465.75
34.88,1977.50
36.56,1878.50
38.28,1764.00
39.92,1676.25
41.62,1598.00
43.36,1531.75
45.05,1463.75
46.72,1408.25
50.06,1354.75
58.69,0.00
53.33,1331.75
54.97,1332.75
56.59,0.00
63.34,1096.75
64.98,1047.75
69.88,1078.25
71.58,1085.75
73.17,1115.00
74.80,1149.00
76.38,1180.75
77.98,1216.00
79.56,1258.00
81.16,1300.25
82.81,1347.75
84.55,1397.75
87.38,2312.50
89.02,2389.25
90.69,2406.00
92.28,2525.50
93.91,2656.25
95.50,2793.00
97.17,2656.50
99.12,1729.25
100.89,1615.25
102.53,1639.00
104.19,1602.25
105.83,1598.25
107.45,1593.50
110.67,1612.00
112.28,1642.25
113.34,0.00
114.97,0.00
116.61,5031.00
119.89,0.00
121.53,5218.25
124.86,4820.50
126.52,4857.25
128.16,4856.75
129.77,4948.25
131.48,5066.50
133.12,5088.75
134.78,4967.25
136.44,4980.75
138.08,4973.00
139.73,4978.50
144.66,5317.25
146.34,5119.75
157.97,4205.75
159.69,3307.00
161.39,3185.00
164.72,2968.25
168.67,1303.50
171.80,0.00
180.47,0.00
174.72,2541.00
176.36,2594.00
177.97,2695.00
179.55,2811.00
181.20,2821.75
199.41,2560.25
201.09,0.00
202.81,2445.25
204.42,2432.50
206.09,2422.00
207.75,2392.25
209.41,2338.00
211.09,2309.50
212.73,2398.75
214.41,2278.00
216.06,2304.00
217.72,2295.50
219.38,2242.00
221.02,2247.00
222.66,2315.75
224.28,2347.75
226.67,1049.00
228.22,0.00
231.61,1049.25
238.17,1112.25
239.73,0.00
242.42,2244.50
244.14,2130.00
245.75,2130.25
247.39,2169.25
249.03,2213.25
250.67,2262.00
252.30,2312.50
253.97,2368.75
255.55,2431.50
257.19,2493.25
258.84,2567.50
260.45,2647.50
262.11,2731.50
263.59,0.00
268.50,4213.25
271.78,4406.50
273.41,0.00
275.12,4472.25
276.78,4446.50
278.42,4379.25
281.73,4277.75
284.45,0.00
286.16,1014.00
288.34,3955.00
293.05,831.75
294.67,826.25
296.39,787.50
298.08,786.75
299.69,788.00
307.48,0.00
303.16,0.00
304.78,3539.00
310.86,0.00
312.50,972.50
314.12,977.25
315.75,988.75
322.20,0.00
333.25,1737.75
336.59,1734.25
338.34,1576.75
340.03,1495.25
341.67,1499.00
343.34,1503.50
345.00,1507.00
346.56,1534.00
351.55,1446.25
353.25,1405.75
354.95,1350.50
356.56,1352.50
358.17,1434.50
359.75,1465.00
1.39,1515.00
3.06,1492.00
4.70,1481.25
6.33,1458.50
8.06,1439.50
14.73,0.00
16.42,1353.00
18.06,1348.50
20.52,4608.00
22.19,4569.75
23.86,4538.00
25.50,4525.25
27.16,4475.00
28.66,7314.75
30.31,7321.25
31.92,0.00
34.16,0.00
35.88,1909.75
37.48,1805.75
39.23,1712.75
40.92,1632.25
42.61,1557.00
44.27,1499.00
45.97,1431.00
47.69,1407.75
49.33,1351.50
51.00,1352.50
52.67,1346.25
54.31,1327.25
55.91,1347.25
57.59,1355.50
62.59,1117.00
64.38,1066.00
69.30,1077.50
70.89,1074.25
72.45,1100.25
74.06,1137.00
75.66,1165.50
77.33,1199.00
78.92,1240.50
80.48,1282.75
82.16,1326.25
